"Date","Close","Volume","lag_1d","lag_2d","lag_5d","lag_10d","lag_20d","lag_40d","ma10","ma30","ma50","ma100","lead_1d"
2014-06-20,1962.87,4336240000,3.38999999999987,5.88999999999987,26.7099999999998,13.4299999999998,70.3799999999999,84.26,1947.132,1918.41266666667,1897.4698,1869.8158,-0.259999999999991
2014-06-19,1959.48,2952150000,2.5,17.49,29.3700000000001,19.02,71.45,84.0899999999999,1945.789,1915.50466666667,1895.656,1868.1121,3.38999999999987
2014-06-18,1956.98,3065220000,14.99,19.2,13.0899999999999,29.0999999999999,84.1500000000001,77.4300000000001,1943.887,1912.79566666667,1893.5056,1866.3329,2.5
2014-06-17,1941.99,2971260000,4.21000000000004,5.82999999999993,-8.79999999999995,17.75,56.9100000000001,70.0999999999999,1940.977,1909.82033333333,1891.2668,1864.666,14.99
2014-06-16,1937.78,2926130000,1.61999999999989,7.67000000000007,-13.49,12.8099999999999,59.9200000000001,72.9300000000001,1939.202,1907.90933333333,1889.7288,1863.5307,4.21000000000004
2014-06-13,1936.16,2598230000,6.05000000000018,-7.73000000000002,-13.28,12.5900000000001,65.3100000000002,73.8500000000001,1937.921,1906.02133333333,1888.7486,1862.6015,1.61999999999989
2014-06-12,1930.11,3040480000,-13.7800000000002,-20.6800000000001,-10.3500000000001,10.0799999999999,41.5799999999999,87.1299999999999,1936.662,1904.272,1887.8434,1861.6779,6.05000000000018
2014-06-11,1943.89,2710620000,-6.89999999999986,-7.37999999999988,16.01,34.1100000000001,46.4400000000001,113.28,1935.654,1902.73333333333,1886.9516,1860.7638,-13.7800000000002
2014-06-10,1950.79,2702360000,-0.480000000000018,1.34999999999991,26.55,38.8799999999999,54.1399999999999,135.1,1932.243,1900.548,1885.5206,1859.7838,-6.89999999999986
2014-06-09,1951.27,2812180000,1.82999999999993,10.8099999999999,26.3,50.74,72.79,118.19,1928.355,1897.836,1883.6572,1858.7597,-0.480000000000018
2014-06-06,1949.44,2864300000,8.98000000000002,21.5599999999999,25.8700000000001,56.95,73.8099999999999,77.26,1923.281,1894.907,1881.6126,1857.6358,1.82999999999993
2014-06-05,1940.46,3113270000,12.5799999999999,16.22,20.4300000000001,52.4300000000001,62.25,88.5,1917.586,1892.546,1879.675,1856.3334,8.98000000000002
2014-06-04,1927.88,2793920000,3.6400000000001,2.91000000000008,18.1000000000001,55.0500000000002,60.1600000000001,82.8400000000001,1912.343,1890.377,1878.1782,1855.3525,12.5799999999999
2014-06-03,1924.24,2867180000,-0.730000000000018,0.670000000000073,12.3299999999999,39.1600000000001,39.5799999999999,59.1500000000001,1906.838,1888.766,1876.7694,1854.455,3.6400000000001
2014-06-02,1924.97,2509020000,1.40000000000009,4.94000000000005,24.4400000000001,47.1100000000001,43.8299999999999,36.2,1902.922,1887.021,1875.615,1853.5875,-0.730000000000018
2014-05-30,1923.57,3263490000,3.53999999999996,13.79,31.0799999999999,52.72,39.8899999999999,32.6699999999998,1898.211,1885.017,1874.5558,1852.7166,1.40000000000009
2014-05-29,1920.03,2709050000,10.25,8.11999999999989,32,31.5,36.0799999999999,34.51,1892.939,1882.975,1873.2998,1851.7486,3.53999999999996
2014-05-28,1909.78,2976450000,-2.13000000000011,9.25,36.95,12.3299999999999,31.45,37.4400000000001,1889.789,1880.40666666667,1872.3442,1850.862,10.25
2014-05-27,1911.91,2911020000,11.3800000000001,19.4200000000001,26.8300000000002,15.26,42.48,54.2900000000002,1888.556,1877.76766666667,1871.3252,1850.084,-2.13000000000011
2014-05-23,1900.53,2396280000,8.03999999999996,12.5,22.6700000000001,22.05,37.1299999999999,51.49,1887.03,1874.56033333333,1869.9096,1849.4485,11.3800000000001
2014-05-22,1892.49,2759800000,4.46000000000004,19.6600000000001,21.6400000000001,16.8599999999999,13.8800000000001,39.9300000000001,1884.825,1872.312,1868.8258,1848.8539,8.03999999999996
2014-05-21,1888.03,2777140000,15.2,2.95000000000005,-0.5,9.81999999999994,12.6399999999999,22.4100000000001,1883.139,1871.635,1868.34,1848.343,4.46000000000004
2014-05-20,1872.83,3007700000,-12.25,-5.02999999999997,-24.6200000000001,5.1099999999999,-6.72000000000003,15.3899999999999,1882.157,1870.43266666667,1867.932,1847.8829,15.2
2014-05-19,1885.08,2664250000,7.22000000000003,14.23,-11.5700000000002,0.419999999999845,13.1899999999998,18.5599999999999,1881.646,1869.50633333333,1868.0188,1847.4878,-12.25
2014-05-16,1877.86,3173650000,7.00999999999999,-10.6700000000001,-0.620000000000118,-3.2800000000002,13.01,5.84999999999991,1881.604,1868.84,1867.878,1846.9169,7.22000000000003
2014-05-15,1870.85,3552640000,-17.6800000000001,-26.6000000000001,-4.7800000000002,-12.8300000000002,8.53999999999996,10.0799999999999,1881.932,1869.20366666667,1867.8614,1846.3215,7.00999999999999
2014-05-14,1888.53,2822060000,-8.92000000000007,-8.12000000000012,10.3199999999999,4.57999999999993,45.55,16.28,1883.215,1869.872,1867.9206,1845.709,-17.6800000000001
2014-05-13,1897.45,2915680000,0.799999999999955,18.97,29.73,19.1200000000001,66.8400000000001,38.6200000000001,1882.757,1869.77166666667,1867.6282,1844.9302,-8.92000000000007
2014-05-12,1896.65,3005740000,18.1700000000001,21.02,11.99,27.22,80.96,55.52,1880.845,1868.93466666667,1866.5938,1843.7657,0.799999999999955
2014-05-09,1878.48,3025020000,2.84999999999991,0.269999999999982,-2.66000000000008,15.0799999999999,45.4000000000001,32.1400000000001,1878.123,1867.63366666667,1865.8498,1842.6646,18.1700000000001
2014-05-08,1875.63,3393420000,-2.57999999999993,7.91000000000008,-8.04999999999995,-2.97999999999979,3.45000000000005,7.43000000000006,1876.615,1866.65233333333,1865.366,1841.633,2.84999999999991
2014-05-07,1878.21,3632950000,10.49,-6.45000000000005,-5.74000000000001,2.81999999999994,26.25,10.5799999999999,1876.913,1865.88333333333,1864.7566,1840.6317,-2.57999999999993
2014-05-06,1867.72,3327260000,-16.9400000000001,-13.4200000000001,-10.6099999999999,-11.8299999999999,22.6800000000001,-9.45000000000005,1876.631,1865.46366666667,1864.0948,1839.6718,10.49
2014-05-05,1884.66,2733730000,3.51999999999998,0.980000000000018,15.23,12.77,19.5700000000002,6.62000000000012,1877.814,1865.121,1863.6926,1839.0208,-16.9400000000001
2014-05-02,1881.14,3159560000,-2.53999999999996,-2.80999999999995,17.74,16.2900000000002,-7.62999999999988,4.11000000000013,1876.537,1864.51633333333,1862.7244,1838.2579,3.51999999999998
2014-05-01,1883.68,3416740000,-0.269999999999982,5.35000000000014,5.07000000000016,21.3700000000001,-7.22000000000003,9.87000000000012,1874.908,1864.212,1861.8972,1837.4974,-2.53999999999996
2014-04-30,1883.95,3779230000,5.62000000000012,14.52,8.55999999999995,40.97,-1.56999999999994,10.04,1872.771,1863.44833333333,1860.7986,1836.5109,-0.269999999999982
2014-04-29,1878.33,3647820000,8.89999999999986,14.9299999999998,-1.22000000000003,47.72,5.99000000000001,32.5999999999999,1868.674,1863.05833333333,1859.9348,1835.5995,5.62000000000012
2014-04-28,1869.43,4034680000,6.02999999999997,-9.17999999999984,-2.46000000000004,53.74,11.8100000000002,9.98000000000002,1863.902,1862.40833333333,1859.1408,1834.7677,8.89999999999986
2014-04-25,1863.4,3213020000,-15.2099999999998,-11.99,-1.44999999999982,30.3200000000002,14.3600000000001,9.11000000000013,1858.528,1861.465,1858.3488,1834.0824,6.02999999999997
2014-04-24,1878.61,3191830000,3.2199999999998,-0.940000000000055,16.3,6.42999999999984,26.05,33.4499999999998,1855.496,1860.89633333333,1857.466,1833.5065,-15.2099999999998
2014-04-23,1875.39,3085720000,-4.15999999999985,3.5,32.4100000000001,23.4300000000001,9.77000000000021,30.2700000000002,1854.853,1860.54933333333,1856.2888,1832.7927,3.2199999999998
2014-04-22,1879.55,3215440000,7.65999999999985,14.7,48.9400000000001,34.51,22.1099999999999,31.9400000000001,1852.51,1860.29066666667,1854.7778,1832.0663,-4.15999999999985
